Designator,Mid X,Mid Y,Rotation,Layer
C1,169.7,-127.6,270.0,top
C10,131.925,-113.0,0.0,top
C11,146.5,-105.825,90.0,top
C12,158.1,-114.1,270.0,top
C13,167.2,-106.6,0.0,top
C2,166.7,-116.0,0.0,top
C3,163.225,-124.0,180.0,top
C4,146.0,-118.1,90.0,top
C5,152.6,-118.1,270.0,top
C6,131.9,-95.2,0.0,top
C7,135.4,-98.3,270.0,top
C8,132.275,-105.7,180.0,top
C9,132.125,-102.1,180.0,top
D5,151.25,-98.125,180.0,top
D6,168.435,-96.7,0.0,top
D8,173.4,-92.65,90.0,top
GPS1,142.24,-106.9,0.0,top
J3,152.2,-127.5,0.0,top
PWR1,142.24,-100.8,0.0,top
Q1,167.1625,-103.2,180.0,top
Q2,170.95,-103.4625,270.0,top
Q3,133.25,-120.1,90.0,top
R1,137.9,-100.8,180.0,top
R10,130.5,-119.7,270.0,top
R11,172.5,-111.825,90.0,top
R12,169.6,-111.8,90.0,top
R2,137.9,-106.9,180.0,top
R3,137.9,-112.8,180.0,top
R4,137.9,-118.8,180.0,top
R5,170.975,-106.4,180.0,top
R6,131.875,-92.8,180.0,top
R7,146.5,-102.1,270.0,top
R8,170.3,-109.0,0.0,top
R9,133.1,-117.3,180.0,top
RX1,142.24,-112.8,0.0,top
S1,160.3,-100.8,180.0,top
S2,160.3,-118.8,180.0,top
S3,172.582,-121.92,90.0,top
TH1,167.9625,-100.0,0.0,top
TX1,142.24,-118.8,0.0,top
U1,162.2,-109.6,0.0,top
U2,150.3,-112.2,270.0,top
U3,150.795,-103.825,0.0,top
U4,158.9625,-127.85,180.0,top
U5,165.0,-127.6,0.0,top
U6,167.795,-120.925,0.0,top
U7,132.1,-98.7,90.0,top
U8,132.3625,-109.0,180.0,top
Y1,149.3,-118.15,180.0,top
