Designator,Mid X,Mid Y,Rotation,Layer
C1,158.3511,-109.6436,0.0,top
C2,158.3711,-104.2286,180.0,top
C4,133.9711,-103.2286,90.0,top
C5,131.3711,-111.6286,90.0,top
D1,130.5811,-98.6236,0.0,top
D2,146.75,-103.25,180.0,top
D3,127.6711,-111.5286,90.0,top
F1,148.7411,-105.8586,0.0,top
J3,123.35,-105.05,270.0,top
R8,129.4711,-111.6286,270.0,top
U$1,130.6711,-107.3286,270.0,top
U1,158.0711,-106.9286,90.0,top
