Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uF,
"C4, C5",0603,2,0.1uF,
D1,SMB-BIDIR,1,SMBJ14CA,
D2,SOD123,1,WSB5508L-2/TR,
D3,SOD-323,1,3V,
F1,R1206,1,BSMD1206-050-16V,
J3,USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,1,10118194-0001LF,
R8,0603,1,75R,
U$1,SOIC-8,1,CH340N,
U1,SOT23,1,SE8533X2-HF,
